LotNum	Title	Description	LowEst	HighEst
94	DAUM NANCY PATE de VERRE DALI ART GLASS PLATE	"A cobalt blue art glass plate with gilt decoration. Measures 10 1/2"" wide. No apparent signatures or marks. Good condition. Weight 4.1 lbs."	250.00	450.00
95	DAUM NANCY PATE de VERRE DALI ART GLASS PLATE	"An amber brown art glass plate with gilt decoration. Measures 10 1/4"" wide. Raised Daum signature, numbered 503, and marked, Made in France. Weight 4.9 lbs.  Good condition."	250.00	450.00
97	TIFFANY STUDIOS BRONZE ZODIAC DESK THERMOMETER	"Thermometer measures 4 1/4"" wide 8 1/4"" tall.  Stamped Tiffany Studios New York and numbered 416 with Tiffany logo stamp.  Appears to be original glass thermometer.   Two screws holding thermometer in place have been replaced.  See images.  Approx. weight 1.2 lbs."	1200.00	1400.00
98	RARE DAUM NANCY ART GLASS STYLIZED BIRD SCULPTURES	"Two yellow cased glass stylized bird sculptures. One measuring 9 3/4"" tall, the other 6 1/4"" tall. Both in good condition. Both with engraved Daum signature. Weight 5.4 lbs."	250.00	350.00
99	DAUM ART GLASS PATE de VERRE PARROT SCULPTURE	"Green art glass sculpture of a parrot on stand Signed on reverse at base, Daum, Made in France and numbered 2/HS. Measures 10 1/2"" tall by 3 1/2"" wide. Weight 4.7 lbs. Good condition."	700.00	900.00
100	MID 20TH C. LARGE CHINESE CARVED IVORY CHESS SET	"Mid 20th century large Chinese carved ivory chess set with 32 intricately carved ivory playing pieces (16 natural and 16 tea-stained,) and large wood case that folds out to become the board.  The interior of the box is lined in blue velvet and fitted for the pieces.  Tallest King measures 7 3/4"". King and queen are signed on the base.  The base of the dark king has a crack. Board opens to 4"" tall by 27"" square, closed measures 8"" tall by  27"" wide by 13 1/2"" deep.  Surface scratches along the sides and on the board.  Ornamental brass latch is damaged.  See images.  Approx. weight 7 lbs.  Ivory items will be sold only to continental United States bidders.  There are no exceptions to this statement.  We will not ship out of the United States."	3500.00	4500.00
101	CARVED IVORY MYSTERY BALL w/ STAND 2pcs	"Carved ivory mystery ball with floral design and a carved stand with matching floral design in the center.  Ball measures 3"" wide, with damage to the interior balls and to some of the exterior carved florals.  Stand measures 8 1/4"" tall by 3"" wide at the base.  Several cracks on the upper carved portion of the stand.  See images.  Approx. weight 5 ounces. Ivory items will be sold only to continental United States bidders. There are no exceptions to this statement. We will not ship out of the United States!!"	50.00	100.00
102	19TH C. CHINESE SILVER FILIGREE ENAMEL JADE JAR	"19th century Chinese silver jar accented with silver filigree, enamel fruits, insects and light green jade.  Stamped SILVER on the base.  Measures 5 3/4"" tall by 4"" wide.  Condition is good, see images.  Approx. weight 1.2 lbs."	700.00	900.00
103	PAIR JAPANESE PIGEON BLOOD CLOISONNE SILVER VASES	"Pair of 20th century Japanese pigeon blood cloisonne silver wire vases with carved wood stands.  Front of vases have a floral design.  Vases measure 4 3/4"" tall by 2 1/2"" wide, condition is good.  Stands measure 1 1/4"" high by 2 3/4"" wide.  See images.  Approx. weight 1.3 lbs."	300.00	400.00
104	19TH C CONTINENTAL CARVED IVORY FIGURE MAN ON A HORSE	"Nineteenth century continental carved ivory figure of a man on horseback blowing a horn.  Measures 6 1/2"" tall by 3"" wide by 2 1/2"" deep.  Condition is good, see images.  Approx. weight 7 ounces. Ivory items will be sold only to continental United States bidders. There are no exceptions to this statement. We will not ship out of the United States."	400.00	600.00
105	19TH C CONTINENTAL CARVED IVORY FIGURE MAN w/ HORN	"Nineteenth century continental carved ivory figure of a Cavalier man blowing a horn. Mounted on an ornate dore bronze base, no marker marks.  Measures 6 1/2"" tall by 2 3/4"" wide.  Cavalier's horn is damaged, see images. Ivory items will be sold only to continental United States bidders. There are no exceptions to this statement. We will not ship out of the United States."	200.00	300.00
106	20TH C. CHINESE CARVED JADE CENSOR w STAND	"20th century Chinese carved light green jade censor with a dragon finial on the lid and bats  handles standing on a carved rosewood stand.  Censor measures with lid measures 4 1/2"" tall by 5"" wide handle to handle by 3"" deep.  Stand is 1"" high by 4 3/4"" wide by 3"" deep.  Condition is good, see images.  Approx. weight 1.1 lbs"	400.00	600.00
107	CHINESE CARVED GREEN QUARTZ BELT BUCKLE	"Measures 4 1/2"" long x 1/2"" wide. Good condition."	40.00	60.00
108	CHINESE 20TH C GILT BRONZE & JADE STAMP BOX	"Twentieth century gilt bronze and jade footed stamp box stamped Made in China.  Measures 1 1/2"" high by 3"" wide by 1 1/2"" wide.  Condition is good, see images.  Approx. weight 4 ounces."	75.00	120.00
109	CHINESE CARVED IVORY FIGURE	"Carved ivory figure of a female deity or goddess with an upturned urn in one hand and a plant in the other. Figure is mounted on an ebonized wood base. Measures 5 1/4"" x 1 3/4"" wide and 3/4"" thick. No apparent signature. Condition is good.  Ivory items will be sold only to continental United States bidders.  There are no exceptions to this statement.  We will not ship out of the United States."	100.00	150.00
110	19TH CENTURY CHINESE CARVED JADE HORSE	"19th century Chinese carved light green jade horse on stand.  Carved details to the horses face, mane and hooves.  Horse is secure to wooden stand measures 3 3/4"" tall by 4 1/4"" wide by 2 1/4"" deep.  Condition is good, see images.  Approx. weight 9 ounces."	200.00	400.00
111	IVORY AND WOOD TOOTHPICK OR HAIR PIN HOLDER & PINS	"Intricately carved Ivory cylindrical container with a carved wood base containing eleven ivory picks or hair pins. Each pin decorated with a crane or heron. Repair to one side of container, some losses to pins. See images.  Ivory items will be sold only to continental United States bidders.  There are no exceptions to this statement.  We will not ship out of the United States."	75.00	150.00
112	JAPANESE POLYCHROME CARVED IVORY NETSUKE OF MICE	"Japanese polychrome carved ivory netsuke of two mice playing under fabric, one is partially covered with only the back end a tail showing. Fabric is decorated in pink and green with flowers and bamboo. There are two cracks along the sides that have been cleverly hidden into the design. They run along the stem of the bamboo on one side, and through petal edges and the bamboo on the other. No apparent signature. Measures 1 3/4"" tall x 3/4"" wide.  Ivory items will be sold only to continental United States bidders.  There are no exceptions to this statement.  We will not ship out of the United States."	75.00	150.00
113	PAIR JAPANESE CARVED IVORY PEASANT FIGURES	"A pair of Chinese male and female carved ivory figures of peasants or servants. Woman with broom, man with rake. Male figure measures just over 3 1/2"" tall by 2"" wide. Female is 3 1/4"" x 1 3/4"" wide. Each is signed on the base with character marks. Both in good condition.  Ivory items will be sold only to continental United States bidders.  There are no exceptions to this statement.  We will not ship out of the United States."	150.00	250.00
114	MAJOLICA ROPE AND FERN CHEESE KEEP 1860-1900	"Majolica Rope and Fern cheese keeper.  Forester c. 1860-1900.  Arched rope with oak leaves, double ranch handle.  Measures 11 1/2"" high by  9 1/2"" diameter.  Unmarked.  Approx. weight 7 1/2 lbs."	700.00	900.00
115	BURMESE SATIN ART GLASS JACK IN THE PULPIT VASE	"Burmese satin art glass Jack In The Pulpit vase. Polished pontil.  Measures 13 1/4"" tall by 6"" wide.  Condition is good, no chips or cracks.  See images.  Approx. weight 1.3 lbs."	350.00	450.00
116	COBALT BLUE GLASS w/ SILVER OVERLAY VASE	"Cobalt blue cylinder shape glass vase with floral silver overlay with no maker marks.  Measures 7 3/4"" high by 2"" wide.  Condition is good, no chips or crack.  See images.  Approx. weight 11 ounces."	100.00	150.00
117	MARSHALL FIELD BRONZE ART NOUVEAU VIKING INKWELL	"Bronze Art Nouveau style inkwell, stamped inside lid MF & Co., VIKING, (Marshall Field & Co., Viking pattern) insert is missing.  Measures 3 3/4"" tall by 5"" wide.  Scratches on base.  See images.  Approx. weight 2.3 lbs."	25.00	50.00
118	CHINESE CARVED PALE GREEN JADE MEDALLION	"Lovely pale green carved jade medallion with character writing front and back mounted and attached with gold tone chain to wear as pendant. Medallion measures 2 1/4"" by 2"" and 1/4"" thick. Good condition."	100.00	150.00
119	NAO FROLICKING PUPPIES FIGURINE & WEST GERMAN OWL	"Nao porcelain figurine of two puppies playing. Measures 5 1/2"" tall. West German porcelain owl figure 4 1/4"" tall. Small blue and white West German label on the base. Weight 1.2 lbs."	20.00	30.00
122	SIGNED JAPANESE IVORY NETSUKE SCHOLAR SIGNED	"Ivory carving of a scholar reading. Signed on the base.  Measures 2"" tall by 1"" wide. Good condition, see images.  Per Ebay policy: This item was legally imported into the United States.  Ebay member from outside the United State are prohibited from bidding on or purchasing the ivory items listed in this auction and this item will not be shipped out of the U.S."	75.00	125.00
125	CHINESE CARVED JADE MEDALLION	"A pierced and carved light and apple green jade medallion of three peaches. One corner broken. Measures 1 3/4"" long by 3/4"" wide."	50.00	100.00
126	19TH C STAFFORDSHIRE FIGURE PRINCESS ROYAL w GOAT	"19th century Staffordshire figure of Princess Royal sitting with a goat.  Measures 7 1/2"" tall by 6 3/4"" wide by 3"" deep.  Losses to gold gilt band along the base, two small chips and fine crazing.  See images.  Approx. weight 1 lb."	150.00	200.00
127	19TH C STAFFORDSHIRE FIGURE PRINCESS ROYAL & CRADLE	"19th century Staffordshire figure of a Princess Royal standing next to a cradle with a royal child inside.  Measures 6 1/4"" high by 5 1/4"" wide by 1 3/4"" deep.  Crazing.  See images.  Approx. weight 12 ounces."	250.00	400.00
128	19TH C STAFFORDSHIRE FIGURE CHILDREN w DOG HOUSE	"19th century Staffordshire figure two children with a dog laying outside its dog house.  Measures 6"" high by 4 1/2"" wide by 2 1/2"" wide.  Fine crazing, see images.  Approx. weight 12 ounces."	150.00	300.00
129	PR 19TH C STAFFORDSHIRE PARR FIGURES SPILL VASES	"Pair Nineteenth century Staffordshire Parr figure spill vases Prince and Princess Royal with pets, each measures 6 1/4"" tall by 3 1/4"" wide by 1 1/2"" deep.  On the base of one vase there is a chip in the center, both have fine crazing and minor losses to glaze along base.  See images.  Approx. weight 1.1 lbs."	200.00	300.00
130	19TH C STAFFORDSHIRE SPILL VASE MASTIFF DOG	"19th century Staffordshire spill vase with a dog house, Mastiff dog laying inside dog house with a child sitting outside.  Measures 5 3/4"" tall by 4 1/4"" wide by 3 "" deep.  Losses to gold gilt along hat rim, see images.  Approx. weight 12 ounces."	200.00	300.00
131	RARE MINTON MAJOLICA BEGGING DOG FIGURE CIRCA 1805	"Minton majolica figure, circa 1805, of a dog begging.  Measures 6 1/4"" tall by 4"" wide by 6"" deep.  Professional restoration to the basket.  See images.  Approx. weight 12 ounces."	1200.00	1800.00
132	PARR STAFFORDSHIRE FIGURE DOG w GIRL SITTING	"19th century Parr Staffordshire figure, large dog with a girl sitting on a dog house.  Measures 8"" tall by 5 1/2"" wide by  1/2"" deep.  Crazing.  See images.  Approx. weight 1.3 lbs."	150.00	300.00
133	19TH C STAFFORDSHIRE PRINCESS ROYAL FIGURE w DOG	"19th century Staffordshire figure of Princess Royal standing next to a large dog.  Measures 7 3/4"" tall by 5 3/4"" wide by  2 3/4"" deep.  Large hair line spider crack on the back.  See images.  Approx. weight 1.2 lbs."	200.00	400.00
134	19TH C STAFFORDSHIRE ROYAL FIGURE w SCOTTISH PLAID	"Nineteenth century Staffordshire figure of a Royal wearing Scottish plaid circa 1840.  Measures 8 1/2"" tall by 3"" wide by 2 3/4"" deep.  Fine crazing, see images.  Approx. weight 9 ounces."	150.00	300.00
135	PORCELANIA STAFFORDSHIRE FIGURE c 1850  A LADY	"Nineteenth century circa 1850 porcelania Staffordshire figure of a theatrical lady.  Measures 7 3/4"" tall by 3 3/4"" wide by 2 1/4"" deep.  See images.  Approx. weight 12 ounces."	100.00	200.00
136	19TH C STAFFORDSHIRE FIGURAL COMFORTER SPANIEL	"Nineteenth century Staffordshire figure, ""Comforter"" spaniel or King Charles spaniel with separated front legs.  Measures 7 1/4"" tall by 5 3/4"" wide by 3 3/4"" deep.  Losses to red glaze and crazing.  No chips.  See images."	200.00	400.00
137	PR 19TH C STAFFORDSHIRE FIGURES PRINCES & PRINCES ROYAL	"Pair of 19th century Staffordshire figures of the Prince and Princes Royal with extruded clay lambs.  The Prince is wearing a kelt and has an orange sash across his coat, his lamb has a black mark across on ear, measures 8 1/4"" tall by 5 1/4"" wide.  Princess measures 7 3/4"" tall by 5"" wide.  Both pieces have crazing, small areas of paint loss, no chips or cracks.  See images.  Approx. weight 2.3 lbs."	200.00	400.00
138	19TH C STAFFORDSHIRE FIGURES PRINCE & PRINCESS ROYAL	"19th century Staffordshire figures of the Prince and Princess Royal sitting under an arbor on sheep both are wearing orange sashes.  Both measure 8"" tall by 4 3/4"" wide by 2"" deep.  The Princess has some minor losses to her hair, floral along the base and a spider crack in the glaze on the back.  See images.  Approx. weight 1.7 lbs."	200.00	400.00
139	STAFFORDSHIRE SPILL VASES BOY GIRL TULIP CAT DOG	"Pair of 19th century Staffordshire spill vases, one of a boy, the other of a girl, each with a pet, tulip flowers and a beehive.  The boy has a black and white spaniel and measures 7 3/4"" tall by 6"" wide.  The girl is holding a bird and petting a cat, measures 7 3/4"" tall by 6"" wide, minor nicks on the hem.  Both have crazing.  See images.  Approx. weight 2.3 lbs."	200.00	400.00
140	19TH C STAFFORDSHIRE IRISH SETTER FIGURE w BIRD	"19th century Staffordshire Irish Setter dog figure with a bird.  Separated front legs.  Measures 8 1/4"" tall by 6"" wide by 2 1/4"" deep.  Fine crazing, no chips.  See images.  Approx. weight 1.1 lbs."	200.00	400.00
141	19TH C STAFFORDSHIRE FIGURE PRINCE & PRINCESS ROYAL	"19th century Staffordshire figure of the Prince and Princess Royal on horseback.  The Prince measures 7 1/2"" tall by 5 1/4"" wide by 1 3/4"" deep, crazing and minor blemishes to ceramic base near the horses rear legs.  The Princess measures 7"" tall by 5"" wide by 1 1/2"" deep.  Blemish to the glaze above the horses front leg and some crazing.  See images.  Approx. weight 1.5 lbs."	250.00	500.00
142	19TH CENTURY STAFFORDSHIRE DISRAELI SPANIEL c 1880	"19th century Staffordshire Disraeli spaniel dog with separated front legs circa 1880.  Measures 9 1/2"" tall by 7 1/4"" wide by 5"" deep.  Crazing in the glaze, hairline spider crack runs along the back side of the dog along with crazing and roughness along the base.  See images."	300.00	450.00
143	19TH C STAFFORDSHIRE PARR FIGURAL GIRL ON HORSEBACK	"Nineteenth century Staffordshire Parr figural girl on horseback.  Measures 8 3/4"" tall by 6 1/2"" wide by 3 1/4"" deep.  No chips, cracks or crazing.  See images.  Approx. weight 1.9 lbs."	150.00	300.00
144	TWO STAFFORDSHIRE FIGURES PRINCES ALFRED & WALES	"Two nineteenth century Staffordshire portrait figures of Prince Alfred and the Prince of Wales standing beside chairs hold swords.  Prince Alfred measures 10 1/2"" tall by 5 1/2"" wide by 2 3/4"" deep, roughness to glaze along the edge of the chair, fine crazing.  Prince of Wales measures 10"" tall by 5 1/2"" wide by 2 3/4"" deep, losses to gold gilt on base, base is not even figure moves.  See images.  Approx. weight 3.9 lbs."	500.00	700.00
145	PR 19TH C STAFFORDSHIRE FIGURES MALE & FEMALE SHEPARD	"Pair Nineteenth century Staffordshire figures of a  male and female shepard.  Male is wearing a kelt, measures 10"" tall by 4"" wide by 2 1/4"" deep, fine crazing along base.  Female measures 9 3/4"" tall by 3 3/4"" wide by 2 1/4"" wide.  Both have losses to gold gilt accents.  No chips, see images.  Approx. weight 1.7 lbs."	200.00	400.00
146	19TH C STAFFORDSHIRE SPILL VASE DOG HOUSE 3 DOGS	"19th century Staffordshire spill vase dog house with a young girl and three dogs.  Measures 9"" tall by 5 1/2"" wide by 2 1/4"" deep.  Fine crazing, see images.  Approx. weight 1.2 lbs."	200.00	400.00
147	19TH C STAFFORDSHIRE FIGURAL ROYAL ARMS OF DOMINION	"19th century Staffordshire figure of the British monarchy Coat of Arms or Arms of Dominion with a clock in the center commemorating Queen Victoria's silver jubilee, circa 1862.  Measures 9 1/2"" tall by 7 3/4"" wide by 2 1/2"" deep.  Some minor losses to the gold gilt,  a few minor flecks and fine crazing.  See images.  Approx. weight 1.3 lbs."	200.00	400.00
148	PAIR 20TH C STAFFORDSHIRE KENT LION DOG FIGURES	"Pair 20th century Staffordshire Kent Lion dog figures with separated front legs standing next to a yellow fence.  Dogs measure 6 3/4"" tall by 5 1/4"" wide by 2 3/4"" deep.  Both dogs have fine crazing.  See images. Approx. weight 2 lbs."	250.00	300.00
149	19TH C STAFFORDSHIRE FIGURE PRINCE ROYAL w PARROT	"19th century Staffordshire figure Prince Royal sitting with a parrot and Dalmatian dog.  Measures 8 3/4"" tall by 5 1/4"" wide by 2 1/2"" deep.  Crazing and a small chip at the base, see images.  Approx. weight 1 2 lbs."	200.00	300.00
150	19th C STAFFORDSHIRE FIGURES PRINCE PRINCESS WALES	"19th century Staffordshire figures Prince Albert and Princess Alexandria, Prince and Princess of Wales circa 1862.  Measures 7 1/4"" tall by 4 1/4"" wide by 2 3/4"" deep.  Firing crack to the to the reverse.  See images.  Approx. weight 14 ounce."	150.00	300.00
151	19TH C STAFFORDSHIRE SPILL VASE DOG HOUSE & DOG	"19th century Staffordshire spill vase with a dog house and woman petting a dog.  Measures 4 1/4"" tall by 4"" wide by 2 "" deep.  Crazing see images.  Approx. weight 7 ounces."	150.00	300.00
152	RARE 19TH C STAFFORDSHIRE LAVENDER CASTLE FIGURINE	"Rare nineteenth century Staffordshire lavender castle figure.  Measures 3 3/4"" high by 4 1/4"" wide by 3 1/2"" deep.  See images.  Approx. weight 11 ounces."	250.00	400.00
153	C 1840'S STAFFORDSHIRE FIGURE OF DOGS PLAYING	"Circa 1840's Staffordshire figural group of two dogs playing.  Measures 2 3/4"" tall by 3 1/2"" wide by 2 3/4"" deep.  See images.  Approx. weight 4 ounces."	150.00	250.00
154	PAIR 19TH C STAFFORDSHIRE DALMATIAN DOG FIGURES	"Pair Nineteenth century Staffordshire Dalmatian dog figures sitting on oval cobalt pillows.  Figures measure 5"" tall by 3 1/4"" wide by 2 1/2"" deep.  Losses to gold gilt on chains and along the base.  Each dog has fine crazing.  See images.  Approx. weight 14 ounces."	200.00	300.00
155	19TH C STAFFORDSHIRE SPILL VASE DOG HOUSE w 2 DOGS	"Nineteenth century Staffordshire spill vase with a dog house, a child sitting and two dogs.  Measures 5 1/4"" tall by 3"" wide by 2 1/4"" deep.  Losses to blue glaze on childs shirt, see images.  Approx. weight 7 ounces."	150.00	300.00
156	20TH C. CHINESE SNUFF BOTTLE INTERIOR DECORATION	"Twentieth century Chinese snuff bottle with interior decoration encased in clear glass with a coral colored cabochon stopper.  Measures 3 1/2"" high by 2"" wide.  See images."	100.00	200.00
157	19TH C STAFFORDSHIRE FIGURE DUKE OF WELLINGTON	"19th century Staffordshire figure of the Duke of Wellington sitting in a chair.  Measures 12"" tall by 4 1/2"" wide by 6"" deep.  Fine crazing, no chips or cracks.  See images.  Approx. weight 3.4 lbs."	200.00	400.00
158	ROOKWOOD ART POTTERY SQUARE TILE TRIVET 6781	"Rookwood art pottery square tile trivet 6781 circa 1945, depicting a woman watering flowers.  Soft blue background. Tile measures 5 1/4"".  Incised Rookwood hallmark, XLV, 6781.  No chips, cracks or crazing.  Condition is good, see images.  Approx. weight 1.2 lbs."	150.00	250.00
159	THREE VAN BRIGGLE ART POTTERY BOWL VASES	"Three  Van Briggle art pottery bowl shaped vases in mat ming blue and mulberry glazes.  Incised on the base of each piece is a double ""A"" hallmark, Van Briggle, Colo. Spgs.  Lot consist of;  two tulip pedal shape bowls with ming blue glaze, largest measures 3 1/4"" high by 5 1/2"" wide, condition is good.  One mulberry bowl with three butterfly panels, measures 3"" high by 3 1/4"" wide, glaze is worn along the mouth.  See images.  Approx. weight 2.3 lbs."	60.00	100.00
160	ROOKWOOD ART POTTERY SQUARE TILE TRIVET 3070	"Rookwood art pottery square tile trivet 3070 circa 1921, woman in a hooped skirt wearing a hat and shawl surrounded by pink flowers with a muted light green background, measures 5 3/4"".  Incised on the base is the Rookwood hallmark, XXI, 3070.  On the back there is manufacturing defect 2 1/2"" long in the pottery that does not extend through.  No chips. See images.  Approx. weight 1 1/2 lbs."	150.00	250.00
161	VAN BRIGGLE ART POTTERY SWIRL LEAF BOWL VASE	"Van Briggle vase in a mat mulberry glaze decorated with raised design of leaves and stems that swirl up from the base and lay along the top giving it a scalloped edge.  Measures 5"" tall by 7 1/4"" wide.  Incised on the base is the double ""A"" hallmark and Van Briggle, Colo Spgs.  Condition is good, no chips, cracks or crazing.  See images.  Approx. weight 2.6 lbs."	80.00	120.00
162	VAN BRIGGLE ART POTTERY EWER PITCHER HAND DECORATED	"Van Briggle art pottery ewer, pitcher that is hand decorated with a floral relief and a soft mat turquoise glaze.  Incised on the base is Van Briggle, Colo. Spgs. Colo., Hand decorated with two hallmarks double A and incised MLP on the base.  Measures 9 1/4"" tall by 4"" wide.  Condition is good, not chips or cracks.  See images.  Approx. weight 1 lb."	100.00	150.00
163	ROOKWOOD ART POTTERY FIGURAL FLOWER FROG 2336	"Rookwood art pottery figural flower frog circa 1921 in a muted cream color glaze.  Incised on the base is the Rookwood hallmark, XXI, 2336.  Measures 6 3/4"" tall by 5"" wide. Several hairlines.  No chips.  See images.  Approx. weight 2 1/2 lbs."	80.00	100.00
164	VINTAGE WOOD CARVED & HAND PAINTED SANTO	"Vintage wood carved and polychrome Santo standing on an orb base.  Measures 13 1/2"" high by 4"" wide by 3"" deep.  There is a small hole on the top of the head, several cracks in the wood on the front of the statue.  The paint is cracking and has chipped off in many places.  The statue is missing it hands and there is a piece of the base missing.  See images.  Approx. weight 1 lb."	300.00	500.00
165	TIBETAN HAND PAINTED THANGKA SCROLL	"Hand painted Tibetan Thangka scroll. Unsigned.  Measures 17 1/2"" long by 13 3/4"" wide. Paint is faded in some areas with some fraying along the bottom edge.  Some creases and worn areas.  See images."	50.00	100.00
166	OIL PAINTING LAKE SCENE SIGNED A. APREA	"Early 20th century oil on board painting signed ""A Aprea"" lower left corner of a European lake scene. Painting measures 9 1/2"" tall by 15"" wide.  There is a  1"" long scratch on painting.  Wood and gypsum mold frame measures 12 1/2"" tall by 17 1/4"" wide by 3/4"" deep, minor chips."	50.00	100.00
167	VAN BRIGGLE ART POTTERY SQUARE SHAPE VASE	"Van Briggle art pottery square shape vase with a soft mat mulberry glaze and raised floral design on the front and back.  Incised on the base is the double ""A"" hallmark, Van Briggle, Colo. Spgs.  Measures 5"" high by 4 1/2"" wide by 3 1/2' deep.  Condition is good, no chips or cracks.  See images.  Approx. weight 1 lb."	75.00	150.00
168	VAN BRIGGLE ART POTTERY PEDESTAL TURQUOISE VASE	"Van Briggle art pottery pedestal vase in a soft mat turquoise glaze with a scalloped rim and a floral & leave pattern on the front and rear.  Incised on the base is Van Briggle, Colo. Spgs., double A hallmark, K.  Measures 8 1/2"" high by 3 3/4"" wide at the mouth. No chips or cracks condition is good, see images.  Approx. weight 1 1/2 lbs."	75.00	150.00
170	LOT OF VAN BRIGGLE ART POTTERY BOWL VASE FROG 4pcs	"Four piece lot of Van Briggle art pottery in a mat ming blue or turquoise glaze.  Incised on the base of each piece is a double ""A"" hallmark, Van Briggle, Colo. Spgs.  Lot consist of; double tulip candlestick 4 1/2"" tall by 7"" long by 2 1/2"" wide, some crazing.  Small round bowl or vase 2 1/2"" high by 4 3/4"" wide.  Heart shape frog 1 1/2"" high by 5 3/4"" wide by 6"" deep.  Small vase 5"" tall by 3 3/4"" wide by 2 3/4"" deep at the base, extensive crazing and wear on the glaze at the mouth of this piece.  See images.  Approx. weight 3.1 lbs."	80.00	120.00
171	PAIR VAN BRIGGLE ART POTTERY TABLE LAMPS	"Pair Van Briggle art pottery tri handle and footed  lamps with a mat turquoise glaze and double ""A"" hallmark on each base.  Measures without harp 7 3/4"" tall by 5"" wide.  Condition is good, no chips, cracks or crazing.  See images.  Approx. weight 3.3 lbs.  As with all vintage electrical pieces, the electrical wiring should be checked by a  professional before use."	100.00	200.00
172	WELLER ART POTTERY GREEN VASE w/ WHITE DAFFODILS	"Weller art pottery green vase circa late 1930's with impressed white daffodils and two handles.  Weller is incised on the base.  Measures 7"" tall by 6 1/2"" wide at the mouth.  There is crazing on both the exterior and interior, no chips or cracks.  See images.  Approx. weight 2 lbs."	40.00	60.00
173	TWO MAJOLICA DECORATIVE PLATES w/ BIRDS	"Two decorative Majolica plates depicting birds eating fruit, ""230"" is impressed on the back of each plate.  Plates measure 7 1/2"" wide.  One bird has a small chip on top of its head.  See images.  Approx. weight 1 lb."	100.00	150.00
174	MAJOLICA PLATE w/  BIRD ON A BRANCH	"Majolica plate depicting a bird standing on a branch with a bright yellow braided boarder.  No maker marks.  Measures 9 1/2"" wide.  Fine crazing, no chips or cracks.  See images.  Approx. weight 1 lbs."	100.00	150.00
175	Ca 1900 E.F. CALDWELL BRONZE MOUNT POTTERY LAMP	"Deep blue pottery lamp with bronze mounts. Signed on bronze base plate E. F. Caldwell & Co. (Pottery is unsigned.).  Measures 30"" tall to tip of acorn finial, 26"" tall to top of socket mount, and 15"" tall to rim of pottery.  Base is 6"" wide.  Needs to be rewired. Weight 11 pounds."	100.00	150.00
176	ROYAL BONN PORCELAIN FLORAL VASE	"Royal Bonn porcelain green vase with a floral pattern on the front and back.  Stamped on the base is Royal Bonn Germany with a hallmark with incised 2562 and 300.  Measures 8 3/4"" tall by 5 1/2"" wide.  No chips, cracks or crazing, minor scratches to the green glaze near the base.  See images.  Approx. weight 2.2 lbs."	80.00	100.00
177	NORITAKE CHINA DINNERWARE FLORAL PATTERN 78 pcs	"Seventy-eight piece set of Noritake dinnerware in floral pattern. Marked Japan with the Morimura ""M"" in a wreath on each piece.  Set consist of : eleven plates 10"" wide, one has a small chip on rim.  Eleven plates 7 1/2"" wide, one with small chip on rim.  Eight plates 6 1/2"" wide, one with small chip on rim.  Ten saucers 5 1/2"" wide. Eight cups 2 1/4"" high by 4 1/2"" wide.  Twelve bowls 1 1/2"" high by 7 1/2"" wide.  Twelve bowls 1 1/4"" high by 5 1/4"" wide.  Two platters largest measures 16"" long by 11"" wide.  One gravy boat with attached underplate 3 1/2"" high by 9"" long by 5 3/4"" wide.  One serving bowl with lid 5 1/4"" high by 10"" wide.  Creamer 3 1/2"" high by 5 1/2"" wide, spout to handle.  Sugar bowl 2 1/2"" high by 6"" wide, missing lid.  Most show signs of wear.  See images.  Approx. weight 49 lbs."	200.00	300.00
178	ANTIQUE ENGLISH HUNT SCENE CERAMIC PITCHER	"Cream background with relief hunt scene of horses, riders, dogs, prey along with trees, grass and a border of holly and berries. Measures 9"" wide by 7"" tall.  No maker marks.  Small hairline at spout. Unmarked."	80.00	150.00
179	VAN BRIGGLE HOPI MAIDEN CERAMIC ASHTRAY TURQUOISE	"Van Briggle Hopi Maiden ceramic ashtray of a American Indian kneeling grinding corn. Incised on the base is Van Briggle, Colo. Spgs. with a double ""A"" hallmark a soft mat turquoise glaze.  Measures 5 1/2"" high by 5 3/4"" wide by 6 1/2"" deep. Condition is good, no chips or cracks.  See images.  Approx. weight 2 lbs."	150.00	200.00
180	VAN BRIGGLE ART POTTERY OVAL BOWL TULIP DESIGN	"Van Briggle art pottery oval bowl or small planter with a tulip design on all four sides in a soft mat mulberry glaze.  Incised on the base is a double ""A"" hallmark, Van Briggle, Colo. Spgs.  Measures 3"" high by 8 1/4"" long by 5 3/4"" deep.  No chips or cracks, minor surface scratches.  See images.  Approx. weight 1 1/2 lbs."	100.00	150.00
181	VAN BRIGGLE ART POTTERY TWIST / SWIRL VASE	"Van Briggle art pottery twist or swirl design design vase in a soft mat ming blue glaze.  Incised on the base is the double A hallmark, Van Briggle, Colo. Spgs.  Measures 7 1/4"" tall by 4"" wide at the mouth.  No chips or cracks.  See images.  Approx. weight 1 lb."	75.00	100.00
