LotNum	Title	Description	LowEst	HighEst
23	PAIR ART DECO BOOKENDS FEMALE DANCING NUDE CAST IRON	"Pair Art Deco bookends: cast iron with a bronze finish. Each depicting a nude female dancing. Each measures 5 314"" tall by 5"" wide by 2 3/4"" deep.  See images.  Approx. weight 8.4 lbs."	100.00	150.00
24	PAIR ART DECO CAST IRON BOOKENDS FEMALE NUDES	"Pair Art Deco cast iron bookends.  Nude is dancing with scarf forming a ring around her.  Bronze finish with wear. Measures 5 1/4"" high by 5 3/4"" wide by 2 1/2"" deep.  See images.  Approx. weight 8.4 lbs."	100.00	150.00
25	PAIR CAST IRON ART DECO MALE NUDE BOOKENDS	"Pair Art Deco bookends. Male nudes. Cast iron with a bronze finish.  Measures 6 1/4"" high by 5 1/4"" wide by 1 1/4"" deep.  See images.  Approx. weight 3 lbs."	80.00	120.00
26	PAIR ART DECO CAST IRON BOOKENDS NUDE FEMALES DANCING	"Pair Art Deco cast iron bookends:  bronze finish, each depicting a nude female dancer.  Stamped # 73 on the reverse of each near the base. Each measures 5 3/4"" tall by 5 3/4"" wide by 2 1/2"" deep.  See images.  Approx. weight 4 lbs."	100.00	150.00
27	HOHENBERG BAVARIA PORCELAIN CUPS & SAUCERS 11 PCS	"Hohenberg Bavaria Germany porcelain cups and saucers in the Green Rose pattern.  Stamped hallmark is on the base of each piece.  Set consist of eight saucers 5 3/4"" wide.  Three cups 2 3/4"" high by 4 1/4"" wide.  No chips, cracks or crazing.  See images.  Approx. weight 3.4 lbs."	25.00	50.00
28	LOUIS VUITTON PARIS PURSE LEATHER SHOULDER STRAP	"Estate item. Original Louis Vuitton Paris LV monogram purse with leather shoulder strap and a zipper closure on the top.  Marked on the interior, Louis Vuitton, Paris, Made In France. Zipper compartment.  Outside compartment with a buckle closure.  Purse measures 8 3/4"" high by 11"" wide by 2 1/2"" deep.  Leather shoulder strap is adjustable.  Condition is good, very little signs of ever being used.  See images."	150.00	200.00
29	RETRO ART DECO STYLE CRYSTAL ETCHED STEMWARE 51 PCS	"Group consists of: four stems at 7 3/4"" tall.  Nine stems at 6 1/2"" tall, one with a chip on the base and one with a crack.  Five stems at 5 1/2"" tall.  Eleven stems at 4 1/2"" tall by 3"" wide.  Eleven stems at 4 1/2"" tall by 3"" wide.  Eleven stems at 4 1/2"" tall by 2"" wide, one has a chip on upper rim.  See images.  Approx. weight 7 lbs."	100.00	150.00
30	VICTORIAN HAND PAINTED GLASS & BRASS OIL LAMP	"Victorian hand painted floral and etched glass oil lamp with gilt brass base and decorative accents.  Lamp has been converted to electricity.  Measures 18"" tall by 7 1/2"" wide at the base.  No chimney.  See images.  Approx. weight 4 lbs.  As with all electrical items be sure to have the wiring checked by a professional before using."	50.00	100.00
31	NAVARRO & OTHER ARTISANS COSTUME jewellery LOT	"An interesting assortment of jewellery designs by various artists including a drop pendant by Navarro Alternatives comprised of sterling, silver plate, shell, quartz and more. Other items include necklaces, earrings and a ring. Components include copper, bronze, sterling, coral, silver plate, iron wood, crystals, jade and more. A good group for the adventurous. All in generally good condition."	25.00	50.00
32	FELIX DE WELDON CAST BRONZE MYTHOLOGICAL PLAQUE	"Round heavy bronze plaque depicting a male mythological figure. Incised signature on lower rim, Felix de Weldon, dated 1931. Measures 9 3/4"" wide and 1"" thick. Weight 8.1 lbs. Condition good."	300.00	400.00
33	MONUMENTAL RUDOLSTADT PORCELAIN FIGURAL GROUP	"Monumental Rudolstadt porcelain hand-painted six figure group comprising a music recital.  Rudolstadt blue underglaze hallmark near the back behind the chair .  All figures have lace work on their clothing, cuffs, collars, hems on the dresses and jabots.  Group is on a carpet motif with flowers and a crown in the center.  Some losses to lace work on all pieces, center figure of a man has been broken and repaired at legs and rear support, losses to petals on some flowers. See images.  Measures 22"" long by 14"" front to back and 13"" tall.  Approx weight 21 lbs."	2000.00	3000.00
35	NAVARRO ALTERNATIVES AMBER & CRYSTAL NECKLACE	"A four strand necklace comprising amber, crystal, silver plate, pewter, quartz, and other beads fitted to a circular silver plate medallion set with faux amber disc ending in a six strand beaded tassel style end. Measures over 32"" long at neck area. Pendant is 5 3/4"" long from top of silver plate disc to tip of longest tassel. Condition is good. Signed on each end of clasp as well as on disc."	50.00	100.00
36	LENOX CHINA DINNERWARE LOWELL PATTERN  SVC 12	"Lenox china dinnerware service for twelve consisting of: twelve 10 1/2"" plates, twelve 8 1/4"" plates, twelve 6 1/4"" plates, twelve 5 1/2"" saucers and twelve cups measuring 5"" from rim to handle and 2 1/4"" tall. All in good condition with little or no signs of use. Weight 33.4 lbs."	400.00	600.00
37	COSTUME & FASHION jewellery NECKLACES EARRINGS BRACELETS ETC	"A nice mix of costume fashion jewellery including a pale coral bead necklace 16"", a Pell berry brooch 1 3/4"" wide, four pairs of Musi, Spain shoe clips, a gold tone and beige enamel ram's head bracelet, a Nina Ricci faux gold and faux diamond necklace, faux diamond studs, fashion clip earrings, a black onyx and gold bead necklace 30"", a gold tone tassel necklace and more."	50.00	75.00
38	HAND COLORED ATLAS MAP BOOK 1821 M. CAREY & SONS	"Antique Atlas with hand coloring. Published by M. Carey & Sons, Philadelphia. Titled, ""Ancient and Modern History of the Principal Royal Family. Leather corners and spine with some bends, some toning and a few torn pages. Mostly good condition. See images. Measures 17 3/4"" by 12"". Weight 8 pounds."	200.00	400.00
39	FOUR DRAWER BURL WOOD BACHELOR CHEST	"Four drawer burl wood bachelor's chest or side table with a flip top.  Unknown maker.  Measures 29 1/2"" tall by 24 1/2"" wide by 13"" deep. Minimal surface scratches, condition is good.  See images.  Approx. weight 55 lbs."	250.00	350.00
40	VICTORIAN NEEDLEPOINT & BEADED SCREEN W/ CARVED STAND	"Victorian needlepoint and beaded screen with an ornate carved frame and stand. Screen has a beaded cherub surrounded by a needlepoint wreath in an ornately carved frame.  Some losses to the beaded work and minor damage to the screen.  The frame is attached to a carved spiral column and craved base.  Screen measures 23 1/2"" high by 21 1/4"" wide by 1 1/4"" deep.  Base measures 28"" tall by 19"" wide by 19"" deep.  See images.  Approx. weight 18 lbs."	700.00	900.00
41	LADIES MINK FUR BERET HAT WITH BOX	"Ladies mink fur beret hat that is lined with a brown jersey and has a brown jersey exterior band.  Beret is made by O'Brien & Sons Furs, Dendee Illinois.   Measures 23 1/2"" round.  Condition is good.  Sold together with a round floral hat box 6 1/4"" high by 14"" wide, condition is good.  See images."	50.00	100.00
42	FOX FUR JACKET w/ WIDE COLLAR & LEATHER BELT	"Fox fur with wide fur collar, leather belt and leather strips.  No makers label.  Jacket measurements are: Length from back of neck to hem 27"", shoulder to shoulder 17 1/2"" wide, sleeve length from top of shoulder to under of sleeve 23"" long, bust 38"".  Approximately size 10/12. See images."	250.00	350.00
44	RARE CHAMPLEVE LAMP w/ ORIGINAL FILIGREE SHADE	"Late 19th century Japanese champleve lamp with original filigreed hexagon shaped silk lined shade. Lamp measures 19 1/2"" high by 5 1/2"" wide at base.  Shade measures 7 1/2"" high by 15"" wide.  Small losses to the filigree work on the shade near the heat cap, the silk lining is worn and has two burn marks.  See images.  Approx. weight 10 lbs.  As with all vintage electrical items be sure to have a professional check the wiring before use."	300.00	400.00
46	UNUSUAL JAPANESE MOUNTAIN POTTERY VASE AS LAMP	"An older Japanese pottery vase depicting a colorful mountain side with crane that has been drilled to be used as a lamp and sets on a carved rosewood base.  Lamp measures without the harp 17"" high by 5"" wide.  Lamp comes with a custom made plaid pleated shade 12"" tall by 19"" wide at base.  See images.  Approx. weight 8 1/2 lbs.   As with all vintage electrical items be sure to have a professional check the wiring before use."	150.00	200.00
47	INDO PERSIAN ORIENTAL RUNNER 6 X 2.4	"Wool Oriental Runner: Indo Persian measures 6’1 x 2’4, India.  All over floral in red and navy, good condition.  Approx. weight 8 lbs."	200.00	400.00
48	WATERCOLOR PAINTING: CITY SCENE - H.P. SMALL	"Late 20th century watercolor painting of a city scene with river. Signed and dated, H.P. Small 87.  Painting is framed, matted and under glass, visible art measures 13"" tall by 21 1/2"" wide, condition good.  Mauve metal frame measures 20 3/4"" tall by 28 1/2"" wide by 3/4"" deep, surface scratches.  See images."	100.00	200.00
49	1970'S YELLOW CERAMIC FLORAL GARDEN STOOL	"Creamy yellow colored ceramic floral garden stool with no maker marks. Measures 19"" tall by 13 1/2"" wide.  Condition good, no chips or cracks.  See images.  Approx. weight 22.9 lbs."	25.00	50.00
50	OIL PAINTING OCEAN COASTAL SCENE SIGNED MUTTI	"Mid 20th century oil on canvas painting of a rocky coastal scene with sail boats in the background.  Artist signed C.T. Mutti lower left corner.  Canvas measures 24"" tall by 30"" wide, condition good.  Stained carved wood frame measures 32"" tall by 38"" wide by 1 1/4"" deep, minor dings on corners.  See images."	200.00	300.00
51	OIL PAINTING: RACING SAILBOAT SIGNED W.E. DANIELS	"Late 20th century oil on canvas painting of two sailboats racing, signed W.E. Daniels 68 at the lower left corner.  Painting is framed in a drift wood style frame.  Canvas measures 24"" tall by 36 1/4"" wide, condition is good.  Frame measures 28 1/2"" tall by 40 1/2"" wide by 2"" deep, condition good.  See images."	50.00	100.00
53	20TH C. COLOR PASTEL PAINTING IRA SHANDER	"20th century color pastel crayon painting of women signed lower left corner ""Ira Shander"".  Framed, matted and under glass.  Visible art measures 14 1/2"" tall by 18 1/4"" wide.  Frame measures 27"" tall by 32 1/2"" wide by 1"" deep.  Condition is good, see images."	100.00	200.00
55	H.P. SMALL SIGNED WATERCOLOR PAINTING RESORT SCENE	"Late 20th century watercolor painting of a resort scene. Signed and dated, lower left corner, H.P. Small 88.  Painting is framed, matted and under glass, visible art measures 13 1/2"" tall by 21"" wide, condition good.  Painted wooden frame measures 21 1/2 tall by 31 1/2"" wide by 1 1/2"" deep, condition good.  See images."	100.00	200.00
57	WATERCOLOR PAINTING: LANDSCAPE WILMER S. RICHTER	"Late 20th century watercolor landscape.  Signed lower left corner ""Wilmer S. Richter"".  Framed, matted and under glass visible art measures 13 1/4"" tall by 21 1/2"" wide.  Gold metal frame measures 20 1/4"" tall by 28 1/2"" wide by 1 1/4"" deep. Condition is good, some surface scratches on the frame. See images.  Wilmer Siegfried Richter (1891-1993)"	150.00	250.00
58	BEADED ORGANZA and SATIN CHRISTMAS TREE SKIRT GREEN	"Christmas tree skirt: green beads with silver braid design on organza covering satin.  Tree skirt measures 24"" deep when around tree. Velcro closing. Good condition."	40.00	60.00
59	GOUACHE PAINTING OF NUDES SIGNED KRANZ '60	"Late 20th century gouache painting framed, matted, under glass and signed lower right corner ""Kranz '60"".  Visible art measures 10 1/2"" tall by 14 3/4"" wide.  Stained wood frame measures 17"" tall by 21"" wide by 1 1/4"" deep.  Condition is good, see images."	100.00	200.00
60	COLOR WOOD CUT PETER O'TOOLE by S. REDINGTON	"Late 20th century color wood cut titled, ""Peter O'Toole as Jeffrey Bernard."" Signed, dated and numbered in pencil, ""S. Redington '90, 12/30"".  Wood cut is framed, matted and under glass.  Visible art measures 19 1/4"" tall by 12 3/4"" wide.  Red metal frame measures 29 1/2"" tall by 21 3/4"" wide by 1/2"" deep. Condition is good, frame has minor scratches and dents  See images."	50.00	100.00
61	V. FARID GOUACHE ON PAPER OF TWO WOMEN 1967	"Late 20th century gouache on paper of two women signed and dated, V. Farid, 1967.  Painting is framed, matted and under glass, visible art measures 13 3/4"" tall by 20 1/2"" wide, condition is good.  Gold painted frame measures 20 1/4"" tall by 27 1/4"" wide by 1 1/2"" deep, minor scratches.  See images."	200.00	300.00
62	20TH C OIL PAINTING MOUNT VERNON SIGNED H LIMERG	"Original late 20th century oil painting on canvas of a panoramic view of Mount Vernon over looking the Potomac river, signed illegibly on the lower left corner.  Canvas measures 16"" tall by 20"" wide.  Wood frame measures 23"" tall by 27"" wide by 2"" deep.  Sticker on the back of the frame reads ""The Potomac Gallery of Old Towne, Alexandria Virginia"". Condition is good.  See images."	300.00	450.00
63	OIL PAINTING WINTER LANDSCAPE SIGNED JOHN GEORGE	"Mid 20th century oil on board painting of a winter landscape. Signed ""John George"" at the lower right corner.  Board measures 16"" high by 20"" wide, condition is good.  Painted frame measures 20 1/2"" high by 24 1/2"" wide by 2"" deep, scratches and dings.  See images"	100.00	150.00
64	HAND WOVEN WOOL NORTH AMERICAN INDIAN RUG/HANGING	"Native American Indian hand woven wool blanket rug or wall hanging geometric band design.  Measures 63"" long by 45"" wide.  One end has 5"" long fringe.  Colors include red, black, orange and cream.  Condition good, see images.  Approx. weight 4 lbs."	200.00	350.00
